# ::snt dr banda also accused senior civil servants from the north of plotting to secede from malawi and encouraged the sackings and arrests of officials of northern origins
# ::tok dr banda also accused senior civil servants from the north of plotting to secede from malawi and encouraged the sackings and arrests of officials of northern origins
# ::alignments 25-26|0.0.1.0.1 23-24|0.0.1.0.0+0.0.1.0 21-22|0.0.1 20-21|0.3.0.0 17-18|0.3.0 16-17|0.3 11-12|0.1 9-10|0.1.0 6-7|0.0.0+0.0 5-6|0.0.3 4-5|0.0.2 3-4|0 2-3|0.2 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:38.327
# ::node	0	accuse-01	3-4
# ::node	0.0	person	6-7
# ::node	0.0.0	serve-02	6-7
# ::node	0.0.1	arrest-01	21-22
# ::node	0.0.1.0	have-org-role-91	23-24
# ::node	0.0.1.0.0	official	23-24
# ::node	0.0.1.0.1	north	25-26
# ::node	0.0.2	senior	4-5
# ::node	0.0.3	civil	5-6
# ::node	0.1	plot-01	11-12
# ::node	0.1.0	north	9-10
# ::node	0.2	also	2-3
# ::node	0.3	and	16-17
# ::node	0.3.0	encourage-01	17-18
# ::node	0.3.0.0	and	20-21
# ::root	0	accuse-01
# ::edge	accuse-01	ARG1	person	0	0.0	
# ::edge	accuse-01	ARG2	plot-01	0	0.1	
# ::edge	accuse-01	mod	also	0	0.2	
# ::edge	and	op1	accuse-01	0.3	0	
# ::edge	arrest-01	ARG1	person	0.0.1	0.0	
# ::edge	arrest-01	time	have-org-role-91	0.0.1	0.0.1.0	
# ::edge	encourage-01	ARG1	and	0.3.0	0.3.0.0	
# ::edge	encourage-01	ARG2	and	0.3.0	0.3	
# ::edge	have-org-role-91	ARG2	official	0.0.1.0	0.0.1.0.0	
# ::edge	have-org-role-91	location	north	0.0.1.0	0.0.1.0.1	
# ::edge	person	mod	civil	0.0	0.0.3	
# ::edge	person	mod	senior	0.0	0.0.2	
# ::edge	plot-01	ARG0	north	0.1	0.1.0	
# ::edge	serve-02	ARG0	person	0.0.0	0.0	
(a4 / accuse-01 
# ::edge	contrast-01	ARG1	race	0	0.0	
# ::edge	contrast-01	ARG2	stretch-01	0	0.1	
# ::edge	favor-01	ARG0	and	0.1.0.0.0.0	0.1.0.0.0	
# ::edge	favor-01	ARG1	person	0.1.0.0.0.0	0.1.0.0.0.0.0	
# ::edge	game	quant	10	0.1.0	0.1.0.1	
# ::edge	manage-01	ARG1	game	0.1.0.0	0.1.0	
# ::edge	name	op1	"chris"	0.1.0.0.0.0.0.0	0.1.0.0.0.0.0.0.0	
# ::edge	person	name	name	0.1.0.0.0.0.0	0.1.0.0.0.0.0.0	
# ::edge	person	quant	0	0.1.0.0.0.0.0	0.1.0.0.0.0.0.1	
# ::edge	sequence-00	ARG1	newspaper	0.1.1	0.1.1.0	
# ::edge	start-01	ARG0	and	0.1.0.0.0.2	0.1.0.0.0	
# ::edge	start-01	ARG1	season	0.1.0.0.0.2	0.1.0.0.0.2.0	
# ::edge	stretch-01	ARG0	game	0.1	0.1.0	
# ::edge	stretch-01	ARG1	sequence-00	0.1	0.1.1	
# ::edge	stretch-01	direction	back	0.1	0.1.2	
# ::edge	win-01	ARG0	and	0.1.0.0.0.1	0.1.0.0.0	
# ::edge	win-01	ARG1	post	0.1.0.0.0.1	0.1.0.0.0.1.0	
(c / contrast-01 
      :ARG1 (r / race) 
      :ARG2 (s / stretch-01 
            :ARG0 (g / game 
                  :ARG1-of (m / manage-01 
                        :op-of (a / and 
                              :ARG0-of (f / favor-01 
                                    :ARG1 (p2 / person 
                                          :name (n2 / name 
                                                :op1 "chris") 
                                          :quant 0)) 
                              :ARG0-of (w / win-01 
                                    :ARG1 (p / post)) 
                              :ARG0-of (s4 / start-01 
                                    :ARG1 (s3 / season)) 
                              :op1 (t / team))) 
                  :quant 10) 
            :ARG1 (s2 / sequence-00 
                  :ARG1 (n / newspaper)) 
            :direction (b / back)))

# ::snt other householders must put refuse for collection into tied plastic sacks which must be strong enough and large enough for the purpose
# ::tok other householders must put refuse for collection into tied plastic sacks which must be strong enough and large enough for the purpose
# ::alignments 21-22|0.3.1 18-19|0.3.0 17-18|0.3 16-17|0 15-16|0.2 14-15|0.1 9-10|0.0.0.0 8-9|0.2.0 6-7|0.0.0 4-5|0.0 0-1|0.0.0.1 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:45.478
# ::node	0	and	16-17
# ::node	0.0	refuse-01	4-5
# ::node	0.0.0	collect-01	6-7
# ::node	0.0.0.0	plastic	9-10
# ::node	0.0.0.1	other	0-1
# ::node	0.1	strong	14-15
# ::node	0.2	enough	15-16
# ::node	0.2.0	tie-01	8-9
# ::node	0.3	large	17-18
# ::node	0.3.0	enough	18-19
# ::node	0.3.1	purpose	21-22
# ::root	0	and
# ::edge	and	op1	strong	0	0.1	
# ::edge	and	op2	enough	0	0.2	
# ::edge	and	op3	large	0	0.3	
# ::edge	collect-01	ARG0	plastic	0.0.0	0.0.0.0	
# ::edge	collect-01	ARG1	other	0.0.0	0.0.0.1	
# ::edge	large	mod	enough	0.3	0.3.0	
# ::edge	large	mod	purpose	0.3	0.3.1	
# ::edge	refuse-01	ARG0	and	0.0	0	
# ::edge	refuse-01	ARG1	collect-01	0.0	0.0.0	
# ::edge	tie-01	ARG1	enough	0.2.0	0.2	
(a / and 
      :ARG0-of (r / refuse-01 
            :ARG1 (c / collect-01 
                  :ARG0 (p2 / plastic) 
                  :ARG1 (o / other))) 
      :op1 (s / strong) 
      :op2 (e2 / enough 
            :ARG1-of (t / tie-01)) 
      :op3 (l / large 
            :mod (e / enough) 
            :mod (p / purpose)))

# ::snt her lawyer advised that because of the manner of her sacking she had strong grounds for bringing an unfair dismissal case in an industrial tribunal
# ::tok her lawyer advised that because of the manner of her sacking she had strong grounds for bringing an unfair dismissal case in an industrial tribunal
# ::alignments 24-25|0.2 23-24|0.2.0 20-21|0.1 18-19|0.1.0.0+0.1.0 16-17|0 14-15|0.0 13-14|0.0.1 11-12|0.0.0.0.1 7-8|0.0.0.0.2 4-5|0.0.0 2-3|0.0.0.0 1-2|0.0.0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:45.598
# ::node	0	bring-01	16-17
# ::node	0.0	ground	14-15
# ::node	0.0.0	cause-01	4-5
# ::node	0.0.0.0	advise-01	2-3
# ::node	0.0.0.0.0	lawyer	1-2
# ::node	0.0.0.0.1	she	11-12
# ::node	0.0.0.0.2	manner	7-8
# ::node	0.0.1	strong	13-14
# ::node	0.1	case	20-21
# ::node	0.1.0	fair	18-19
# ::node	0.1.0.0	-	18-19
# ::node	0.2	tribunal	24-25
# ::node	0.2.0	industry	23-24
# ::root	0	bring-01
# ::edge	advise-01	ARG0	lawyer	0.0.0.0	0.0.0.0.0	
# ::edge	advise-01	ARG1	she	0.0.0.0	0.0.0.0.1	
# ::edge	advise-01	manner	manner	0.0.0.0	0.0.0.0.2	
# ::edge	bring-01	ARG0	ground	0	0.0	
# ::edge	bring-01	ARG1	case	0	0.1	
# ::edge	bring-01	ARG2	tribunal	0	0.2	
# ::edge	case	mod	fair	0.1	0.1.0	
# ::edge	cause-01	ARG0	ground	0.0.0	0.0	
# ::edge	cause-01	ARG1	advise-01	0.0.0	0.0.0.0	
# ::edge	fair	polarity	-	0.1.0	0.1.0.0	
# ::edge	ground	mod	strong	0.0	0.0.1	
# ::edge	tribunal	mod	industry	0.2	0.2.0	
(b / bring-01 
      :ARG0 (g / ground 
            :ARG0-of (c2 / cause-01 
                  :ARG1 (a / advise-01 
                        :ARG0 (l / lawyer) 
                        :ARG1 (s2 / she) 
                        :manner (m / manner))) 
            :mod (s / strong)) 
      :ARG1 (c / case 
            :mod (f / fair 
                  :polarity -)) 
      :ARG2 (t / tribunal 
            :mod (i / industry)))

# ::snt the sackings claimed 10 senior communist party officials including three full politburo members grisha filipov milko balev and the former interior minister dimitar stoyanov all of them supporters of todor zhivkov who stood down as the countrys leader last week after 34 years
# ::tok the sackings claimed 10 senior communist party officials including three full politburo members grisha filipov milko balev and the former interior minister dimitar stoyanov all of them supporters of todor zhivkov who stood down as the countrys leader last week after 34 years
# ::alignments 42-43|0.1.0.0.0.1.0.2.0.1+0.1.0.0.0.1.0.2.0 41-42|0.1.0.0.0.1.0.2.0.0 40-41|0.1.0.0.0.1.0.2 39-40|0.1.0.0.0.0 38-39|0.1.0.0.0.0.0 37-38|0.1.0.0.0+0.1.0.0 33-34|0.1.0.0.0.1 32-33|0.1.0.0.0.1.0 27-28|0.1.0.0.0.1.0.1.0+0.1.0.0.0.1.0.1 24-25|0.1.0.0.0.1.0.1.0.0 20-22|0.1.1.0+0.1.1.1+0.1.1+0.1 19-20|0.1.2 17-18|0 12-13|0.1.0.1+0.1.0 10-11|0.0.0 9-10|0.1.0.0.0.1.0.0 7-8|0.1.0.0.0.1.0.1.1.1+0.1.0.0.0.1.0.1.1 5-7|0.1.0.0.0.1.0.1.1.0.0.0+0.1.0.0.0.1.0.1.1.0.0.1+0.1.0.0.0.1.0.1.1.0.0+0.1.0.0.0.1.0.1.1.0 4-5|0.1.0.0.0.1.0.1.1.1.0 3-4|0.1.0.0.0.1.0.1.0.0.0 2-3|0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:46.742
# ::node	0	and	17-18
# ::node	0.0	claim-01	2-3
# ::node	0.0.0	full	10-11
# ::node	0.1	organization	20-22
# ::node	0.1.0	have-org-role-91	12-13
# ::node	0.1.0.0	person	37-38
# ::node	0.1.0.0.0	lead-02	37-38
# ::node	0.1.0.0.0.0	week	39-40
# ::node	0.1.0.0.0.0.0	last	38-39
# ::node	0.1.0.0.0.1	down	33-34
# ::node	0.1.0.0.0.1.0	stand-01	32-33
# ::node	0.1.0.0.0.1.0.0	3	9-10
# ::node	0.1.0.0.0.1.0.1	person	27-28
# ::node	0.1.0.0.0.1.0.1.0	support-01	27-28
# ::node	0.1.0.0.0.1.0.1.0.0	all	24-25
# ::node	0.1.0.0.0.1.0.1.0.0.0	10	3-4
# ::node	0.1.0.0.0.1.0.1.1	have-org-role-91	7-8
# ::node	0.1.0.0.0.1.0.1.1.0	political-party	5-7
# ::node	0.1.0.0.0.1.0.1.1.0.0	name	5-7
# ::node	0.1.0.0.0.1.0.1.1.0.0.0	"Communist"	5-7
# ::node	0.1.0.0.0.1.0.1.1.0.0.1	"Party"	5-7
# ::node	0.1.0.0.0.1.0.1.1.1	official	7-8
# ::node	0.1.0.0.0.1.0.1.1.1.0	senior	4-5
# ::node	0.1.0.0.0.1.0.2	after	40-41
# ::node	0.1.0.0.0.1.0.2.0	temporal-quantity	42-43
# ::node	0.1.0.0.0.1.0.2.0.0	34	41-42
# ::node	0.1.0.0.0.1.0.2.0.1	year	42-43
# ::node	0.1.0.1	member	12-13
# ::node	0.1.1	name	20-22
# ::node	0.1.1.0	"minister"	20-22
# ::node	0.1.1.1	"interior"	20-22
# ::node	0.1.2	former	19-20
# ::root	0	and
# ::edge	10	poss	all	0.1.0.0.0.1.0.1.0.0.0	0.1.0.0.0.1.0.1.0.0	
# ::edge	after	op1	temporal-quantity	0.1.0.0.0.1.0.2	0.1.0.0.0.1.0.2.0	
# ::edge	and	op1	claim-01	0	0.0	
# ::edge	and	op2	organization	0	0.1	
# ::edge	claim-01	ARG0	full	0.0	0.0.0	
# ::edge	have-org-role-91	ARG0	person	0.1.0	0.1.0.0	
# ::edge	have-org-role-91	ARG0	person	0.1.0.0.0.1.0.1.1	0.1.0.0.0.1.0.1	
# ::edge	have-org-role-91	ARG1	organization	0.1.0	0.1	
# ::edge	have-org-role-91	ARG1	political-party	0.1.0.0.0.1.0.1.1	0.1.0.0.0.1.0.1.1.0	
# ::edge	have-org-role-91	ARG2	member	0.1.0	0.1.0.1	
# ::edge	have-org-role-91	ARG2	official	0.1.0.0.0.1.0.1.1	0.1.0.0.0.1.0.1.1.1	
# ::edge	lead-02	ARG0	person	0.1.0.0.0	0.1.0.0	
# ::edge	lead-02	ARG1	week	0.1.0.0.0	0.1.0.0.0.0	
# ::edge	lead-02	direction	down	0.1.0.0.0	0.1.0.0.0.1	
# ::edge	name	op1	"Communist"	0.1.0.0.0.1.0.1.1.0.0	0.1.0.0.0.1.0.1.1.0.0.0	
# ::edge	name	op1	"minister"	0.1.1	0.1.1.0	
# ::edge	name	op2	"Party"	0.1.0.0.0.1.0.1.1.0.0	0.1.0.0.0.1.0.1.1.0.0.1	
# ::edge	name	op2	"interior"	0.1.1	0.1.1.1	
# ::edge	official	mod	senior	0.1.0.0.0.1.0.1.1.1	0.1.0.0.0.1.0.1.1.1.0	
# ::edge	organization	name	name	0.1	0.1.1	
# ::edge	organization	time	former	0.1	0.1.2	
# ::edge	political-party	name	name	0.1.0.0.0.1.0.1.1.0	0.1.0.0.0.1.0.1.1.0.0	
# ::edge	stand-01	ARG0	3	0.1.0.0.0.1.0	0.1.0.0.0.1.0.0	
# ::edge	stand-01	ARG1	person	0.1.0.0.0.1.0	0.1.0.0.0.1.0.1	
# ::edge	stand-01	ARG2	down	0.1.0.0.0.1.0	0.1.0.0.0.1	
# ::edge	stand-01	time	after	0.1.0.0.0.1.0	0.1.0.0.0.1.0.2	
# ::edge	support-01	ARG0	person	0.1.0.0.0.1.0.1.0	0.1.0.0.0.1.0.1	
# ::edge	support-01	ARG1	all	0.1.0.0.0.1.0.1.0	0.1.0.0.0.1.0.1.0.0	
# ::edge	temporal-quantity	quant	34	0.1.0.0.0.1.0.2.0	0.1.0.0.0.1.0.2.0.0	
# ::edge	temporal-quantity	unit	year	0.1.0.0.0.1.0.2.0	0.1.0.0.0.1.0.2.0.1	
# ::edge	week	mod	last	0.1.0.0.0.0	0.1.0.0.0.0.0	
(a3 / and 
      :op1 (c / claim-01 
            :ARG0 (f2 / full)) 
      :op2 (o / organization 
            :ARG1-of (h / have-org-role-91 
                  :ARG0 (p / person 
                        :ARG0-of (l2 / lead-02 
                              :ARG1 (w / week 
                                    :mod (l / last)) 
                              :direction (d / down 
                                    :ARG2-of (s / stand-01 
                                          :ARG0 3 
                                          :ARG1 (p2 / person 
                                                :ARG0-of (s2 / support-01 
                                                      :ARG1 (a2 / all 
                                                            :poss-of 10)) 
                                                :ARG0-of (h2 / have-org-role-91 
                                                      :ARG1 (p3 / political-party 
                                                            :name (n2 / name 
                                                                  :op1 "Communist" 
                                                                  :op2 "Party")) 
                                                      :ARG2 (o2 / official 
                                                            :mod (s3 / senior)))) 
                                          :time (a / after 
                                                :op1 (t / temporal-quantity 
                                                      :quant 34 
                                                      :unit (y / year))))))) 
                  :ARG2 (m / member)) 
            :name (n / name 
                  :op1 "minister" 
                  :op2 "interior") 
            :time (f / former)))

# ::snt sacking is perhaps too blunt a word to describe the departure of an editor of pravda
# ::tok sacking is perhaps too blunt a word to describe the departure of an editor of pravda
# ::alignments 13-14|0 10-11|0.0 8-9|0.0.0 6-7|0.0.0.0 4-5|0.0.0.0.0 3-4|0.0.0.0.0.0 2-3|0.0.0.0.0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:46.819
# ::node	0	editor	13-14
# ::node	0.0	depart-01	10-11
# ::node	0.0.0	describe-01	8-9
# ::node	0.0.0.0	word	6-7
# ::node	0.0.0.0.0	blunt	4-5
# ::node	0.0.0.0.0.0	too	3-4
# ::node	0.0.0.0.0.0.0	perhaps	2-3
# ::root	0	editor
(e / editor 
      :ARG1-of (d / depart-01 
            :ARG1-of (d2 / describe-01 
                  :ARG0 (w / word 
                        :time-of (b / blunt 
                              :degree (t / too 
                                    :op1 (p / perhaps)))))))

# ::snt pupils from the towns community college armed themselves with green sacks on a scavenging party yesterday friday
# ::tok pupils from the towns community college armed themselves with green sacks on a scavenging party yesterday friday
# ::alignments 16-17|0.0.0.0.0.0.0 15-16|0.0.0.0.0.0 14-15|0.0.0.0.0 9-10|0 6-7|0.0.0.0 5-6|0.0.0 4-5|0.0.0.1 3-4|0.0.0.1.0 0-1|0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:46.993
# ::node	0	green	9-10
# ::node	0.0	pupil	0-1
# ::node	0.0.0	college	5-6
# ::node	0.0.0.0	arm-01	6-7
# ::node	0.0.0.0.0	party	14-15
# ::node	0.0.0.0.0.0	yesterday	15-16
# ::node	0.0.0.0.0.0.0	friday	16-17
# ::node	0.0.0.1	community	4-5
# ::node	0.0.0.1.0	town	3-4
# ::root	0	green
# ::edge	arm-01	ARG1	college	0.0.0.0	0.0.0	
# ::edge	college	mod	community	0.0.0	0.0.0.1	
# ::edge	community	mod	town	0.0.0.1	0.0.0.1.0	
# ::edge	friday	mod	yesterday	0.0.0.0.0.0.0	0.0.0.0.0.0	
# ::edge	green	poss	pupil	0	0.0	
# ::edge	party	op1	arm-01	0.0.0.0.0	0.0.0.0	
# ::edge	party	part	yesterday	0.0.0.0.0	0.0.0.0.0.0	
# ::edge	pupil	location	college	0.0	0.0.0	
(g / green 
      :poss (p2 / pupil 
            :location (c / college 
                  :ARG1-of (a / arm-01 
                        :op-of (p / party 
                              :part (y / yesterday 
                                    :mod-of (f / friday)))) 
                  :mod (c2 / community 
                        :mod (t / town)))))

# ::snt rather than proving that justice is blind however his sacking this summer probably stems more from his close political ties to the ousted party secretary zhao ziyang than any of the offences he no doubt committed
# ::tok rather than proving that justice is blind however his sacking this summer probably stems more from his close political ties to the ousted party secretary zhao ziyang than any of the offences he no doubt committed
# ::alignments 35-36|0.0.0.0.0 34-35|0.0.0.0 33-34|0.0.0.0.1 32-33|0.0.0.0.0.0 31-32|0.0.0.0.0.1 28-29|0.0.0.0.0.1.0 25-27|0.0.1.0.0+0.0.1.0.1+0.0.1.0+0.0.1 24-25|0.0.1.1 23-24|0.0.1.1.0 22-23|0.0 19-20|0 18-19|0.1 12-13|0.0.0 11-12|0.2 10-11|0.2.1 6-7|0.2.0 4-5|0.2.0.0 2-3|0.2.0.1 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:47.633
# ::node	0	tie-01	19-20
# ::node	0.0	oust-01	22-23
# ::node	0.0.0	probable	12-13
# ::node	0.0.0.0	doubt-01	34-35
# ::node	0.0.0.0.0	commit-01	35-36
# ::node	0.0.0.0.0.0	he	32-33
# ::node	0.0.0.0.0.1	offence	31-32
# ::node	0.0.0.0.0.1.0	any	28-29
# ::node	0.0.0.0.1	-	33-34
# ::node	0.0.1	person	25-27
# ::node	0.0.1.0	name	25-27
# ::node	0.0.1.0.0	"ziyang"	25-27
# ::node	0.0.1.0.1	"zhao"	25-27
# ::node	0.0.1.1	secretary	24-25
# ::node	0.0.1.1.0	party	23-24
# ::node	0.1	politics	18-19
# ::node	0.2	summer	11-12
# ::node	0.2.0	blind-01	6-7
# ::node	0.2.0.0	justice	4-5
# ::node	0.2.0.1	prove-01	2-3
# ::node	0.2.1	this	10-11
# ::root	0	tie-01
# ::edge	blind-01	ARG0	summer	0.2.0	0.2	
# ::edge	blind-01	ARG1	justice	0.2.0	0.2.0.0	
# ::edge	commit-01	ARG0	he	0.0.0.0.0	0.0.0.0.0.0	
# ::edge	commit-01	ARG1	offence	0.0.0.0.0	0.0.0.0.0.1	
# ::edge	doubt-01	ARG0	probable	0.0.0.0	0.0.0	
# ::edge	doubt-01	ARG1	commit-01	0.0.0.0	0.0.0.0.0	
# ::edge	doubt-01	polarity	-	0.0.0.0	0.0.0.0.1	
# ::edge	name	op1	"ziyang"	0.0.1.0	0.0.1.0.0	
# ::edge	name	op2	"zhao"	0.0.1.0	0.0.1.0.1	
# ::edge	offence	mod	any	0.0.0.0.0.1	0.0.0.0.0.1.0	
# ::edge	oust-01	ARG0	probable	0.0	0.0.0	
# ::edge	oust-01	ARG1	person	0.0	0.0.1	
# ::edge	party	part	secretary	0.0.1.1.0	0.0.1.1	
# ::edge	person	name	name	0.0.1	0.0.1.0	
# ::edge	person	poss	secretary	0.0.1	0.0.1.1	
# ::edge	prove-01	ARG1	blind-01	0.2.0.1	0.2.0	
# ::edge	summer	mod	this	0.2	0.2.1	
# ::edge	tie-01	ARG1	oust-01	0	0.0	
# ::edge	tie-01	mod	politics	0	0.1	
# ::edge	tie-01	time	summer	0	0.2	
(t / tie-01 
      :ARG1 (o2 / oust-01 
            :ARG0 (p4 / probable 
                  :ARG0-of (d / doubt-01 
                        :ARG1 (c / commit-01 
                              :ARG0 (h / he) 
                              :ARG1 (o / offence 
                                    :mod (a / any))) 
                        :polarity (- / -))) 
            :ARG1 (p / person 
                  :name (n / name 
                        :op1 "ziyang" 
                        :op2 "zhao") 
                  :poss (s / secretary 
                        :part-of (p2 / party)))) 
      :mod (p3 / politics) 
      :time (s2 / summer 
            :ARG0-of (b / blind-01 
                  :ARG1 (j / justice) 
                  :ARG1-of (p5 / prove-01)) 
            :mod (t2 / this)))

# ::snt teenagers testified that they had been covered with sacks and beaten sometimes by several people
# ::tok teenagers testified that they had been covered with sacks and beaten sometimes by several people
# ::alignments 13-14|0.0.2 11-12|0.1 9-10|0 6-7|0.0 3-4|0.0.1 0-1|0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:47.684
# ::node	0	and	9-10
# ::node	0.0	cover-01	6-7
# ::node	0.0.0	teenager	0-1
# ::node	0.0.1	they	3-4
# ::node	0.0.2	several	13-14
# ::node	0.1	sometimes	11-12
# ::root	0	and
# ::edge	and	op1	cover-01	0	0.0	
# ::edge	cover-01	ARG0	teenager	0.0	0.0.0	
# ::edge	cover-01	ARG1	they	0.0	0.0.1	
# ::edge	cover-01	manner	several	0.0	0.0.2	
# ::edge	sometimes	poss	and	0.1	0	
(a / and 
      :op1 (c / cover-01 
            :ARG0 (t2 / teenager) 
            :ARG1 (t / they) 
            :manner (s / several)) 
      :poss-of (s2 / sometimes))

# ::snt the sacking of konstantin kharchev last summer as minister of religion was never announced still less explained
# ::tok the sacking of konstantin kharchev last summer as minister of religion was never announced still less explained
# ::alignments 16-17|0.1 15-16|0 14-15|0.2 13-14|0.0 10-11|0.0.0 8-9|0.1.0.1+0.1.0 6-7|0.1.0.0 5-6|0.1.0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:47.836
# ::node	0	less	15-16
# ::node	0.0	announce-01	13-14
# ::node	0.0.0	religion	10-11
# ::node	0.1	explain-01	16-17
# ::node	0.1.0	have-org-role-91	8-9
# ::node	0.1.0.0	summer	6-7
# ::node	0.1.0.0.0	last	5-6
# ::node	0.1.0.1	minister	8-9
# ::node	0.2	still	14-15
# ::root	0	less
# ::edge	announce-01	ARG0	less	0.0	0	
# ::edge	announce-01	ARG1	religion	0.0	0.0.0	
# ::edge	explain-01	ARG1	have-org-role-91	0.1	0.1.0	
# ::edge	explain-01	degree	less	0.1	0	
# ::edge	have-org-role-91	ARG0	summer	0.1.0	0.1.0.0	
# ::edge	have-org-role-91	ARG2	minister	0.1.0	0.1.0.1	
# ::edge	less	quant	still	0	0.2	
# ::edge	summer	mod	last	0.1.0.0	0.1.0.0.0	
(l / less 
      :ARG0-of (a / announce-01 
            :ARG1 (r / religion)) 
      :degree-of (e / explain-01 
            :ARG1 (h / have-org-role-91 
                  :ARG0 (s2 / summer 
                        :mod (l2 / last)) 
                  :ARG2 (m / minister))) 
      :quant (s / still))

# ::snt to simplify the handling of sacks of corn facilities such as loading ramps waggon bays and internal or external hoists that could lift sacks to the top of the mill for storage were installed
# ::tok to simplify the handling of sacks of corn facilities such as loading ramps waggon bays and internal or external hoists that could lift sacks to the top of the mill for storage were installed
# ::alignments 33-34|0.0 31-32|0 26-27|0.0.1.0.0.0.0 22-23|0.0.1.0.0.0 21-22|0.0.1.0.0.0.1 18-19|0.0.0.1 17-18|0.0.0 16-17|0.0.0.0 15-16|0.0.1 11-12|0.0.1.1 9-10|0.0.1.1.0 8-9|0.0.1.1.1 7-8|0.0.1.1.1.0 3-4|0.0.1.0.0 1-2|0.0.1.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:48.548
# ::node	0	store-01	31-32
# ::node	0.0	install-01	33-34
# ::node	0.0.0	or	17-18
# ::node	0.0.0.0	internal	16-17
# ::node	0.0.0.1	external	18-19
# ::node	0.0.1	and	15-16
# ::node	0.0.1.0	simplify-01	1-2
# ::node	0.0.1.0.0	handle-01	3-4
# ::node	0.0.1.0.0.0	lift-01	22-23
# ::node	0.0.1.0.0.0.0	top	26-27
# ::node	0.0.1.0.0.0.1	possible	21-22
# ::node	0.0.1.1	load-01	11-12
# ::node	0.0.1.1.0	such	9-10
# ::node	0.0.1.1.1	facility	8-9
# ::node	0.0.1.1.1.0	corn	7-8
# ::root	0	store-01
(s / store-01 
      :ARG1-of (i / install-01 
            :ARG0 (o / or 
                  :op1 (i2 / internal) 
                  :op2 (e / external)) 
            :op-of (a / and 
                  :op1 (s3 / simplify-01 
                        :ARG1 (h / handle-01 
                              :ARG1 (l / lift-01 
                                    :ARG1 (t / top) 
                                    :domain-of (p / possible)))) 
                  :op2 (l2 / load-01 
                        :ARG1 (s2 / such) 
                        :example-of (f / facility 
                              :mod (c / corn))))))

# ::snt the fears of bureaucrats and industrial workers are simpler still harddriving new bosses at best at worst the sack
# ::tok the fears of bureaucrats and industrial workers are simpler still harddriving new bosses at best at worst the sack
# ::alignments 16-17|0.0.2 12-13|0.0.0 11-12|0.0.0.0 9-10|0.0.1.0 8-9|0.0.1 6-7|0.2.0+0.2 5-6|0.2.1 4-5|0 3-4|0.1 1-2|0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:48.652
# ::node	0	and	4-5
# ::node	0.0	fear-01	1-2
# ::node	0.0.0	boss	12-13
# ::node	0.0.0.0	new	11-12
# ::node	0.0.1	simple	8-9
# ::node	0.0.1.0	still	9-10
# ::node	0.0.2	bad	16-17
# ::node	0.1	bureaucrat	3-4
# ::node	0.2	person	6-7
# ::node	0.2.0	work-01	6-7
# ::node	0.2.1	industry	5-6
# ::root	0	and
# ::edge	and	op1	bureaucrat	0	0.1	
# ::edge	and	op2	person	0	0.2	
# ::edge	bad	op1	fear-01	0.0.2	0.0	
# ::edge	boss	mod	new	0.0.0	0.0.0.0	
# ::edge	fear-01	ARG0	boss	0.0	0.0.0	
# ::edge	fear-01	ARG1	and	0.0	0	
# ::edge	person	mod	industry	0.2	0.2.1	
# ::edge	simple	domain	fear-01	0.0.1	0.0	
# ::edge	simple	location	still	0.0.1	0.0.1.0	
# ::edge	work-01	ARG0	person	0.2.0	0.2	
(a / and 
      :ARG1-of (f / fear-01 
            :ARG0 (b2 / boss 
                  :mod (n / new)) 
            :domain-of (s2 / simple 
                  :location (s / still)) 
            :op-of (b / bad)) 
      :op1 (b3 / bureaucrat) 
      :op2 (p / person 
            :ARG0-of (w / work-01) 
            :mod (i / industry)))

# ::snt these were long sacks which were suspended through a circular hole in the floor called the trading hole until presses were introduced the hops were compressed by a man treading them in
# ::tok these were long sacks which were suspended through a circular hole in the floor called the trading hole until presses were introduced the hops were compressed by a man treading them in
# ::alignments 28-29|0.0.0 25-26|0.0 21-22|0 19-20|0.1 18-19|0.2 17-18|0.0.1.0 16-17|0.0.1 13-14|0.0.1.0.0.1 10-11|0.0.1.0.0 6-7|0.0.1.0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:48.992
# ::node	0	introduce-02	21-22
# ::node	0.0	compress-01	25-26
# ::node	0.0.0	man	28-29
# ::node	0.0.1	trade-01	16-17
# ::node	0.0.1.0	hole	17-18
# ::node	0.0.1.0.0	hole	10-11
# ::node	0.0.1.0.0.0	suspend-01	6-7
# ::node	0.0.1.0.0.1	floor	13-14
# ::node	0.1	press	19-20
# ::node	0.2	until	18-19
# ::root	0	introduce-02
# ::edge	compress-01	ARG0	man	0.0	0.0.0	
# ::edge	compress-01	ARG1	trade-01	0.0	0.0.1	
