# ::snt labour and liberal county councillors have set spending levels far in excess of what the department of environment considered reasonable or necessary and far in excess of the budgets proposed year on year by the conservative group on the county council
# ::tok labour and liberal county councillors have set spending levels far in excess of what the department of environment considered reasonable or necessary and far in excess of the budgets proposed year on year by the conservative group on the county council
# ::alignments 40-41|0.1.0.3.1 39-40|0.1.0.3.1.0 36-37|0.1.0.3 35-36|0.1.0.3.2 32-33|0.1.0.3.0 30-31|0.1.0.0.0.0 29-30|0.1.0.0.0 28-29|0.1.0.0.1.0 25-26|0.1.0.0.1 23-24|0.1.1 22-23|0 20-21|0.1 19-20|0.1.0.1 18-19|0.1.0 17-18|0.1.0.0.2 15-16|0.1.0.0 11-12|0.1.0.2 9-10|0.1.0.2.0 8-9|0.0.2.0 7-8|0.0.2 3-4|0.0.1.0 2-3|0.0.1 1-2|0.0 0-1|0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:01.262
# ::node	0	and	22-23
# ::node	0.0	and	1-2
# ::node	0.0.0	labour	0-1
# ::node	0.0.1	liberal	2-3
# ::node	0.0.1.0	county	3-4
# ::node	0.0.2	spend-01	7-8
# ::node	0.0.2.0	level	8-9
# ::node	0.1	or	20-21
# ::node	0.1.0	consider-01	18-19
# ::node	0.1.0.0	department	15-16
# ::node	0.1.0.0.0	propose-01	29-30
# ::node	0.1.0.0.0.0	year	30-31
# ::node	0.1.0.0.1	exceed-01	25-26
# ::node	0.1.0.0.1.0	budget	28-29
# ::node	0.1.0.0.2	environment	17-18
# ::node	0.1.0.1	reasonable	19-20
# ::node	0.1.0.2	exceed-01	11-12
# ::node	0.1.0.2.0	far	9-10
# ::node	0.1.0.3	group	36-37
# ::node	0.1.0.3.0	year	32-33
# ::node	0.1.0.3.1	council	40-41
# ::node	0.1.0.3.1.0	county	39-40
# ::node	0.1.0.3.2	conservative	35-36
# ::node	0.1.1	far	23-24
# ::root	0	and
(a / and 
# ::alignments 20-21|0.2.0 17-18|0.2 15-16|0.1 14-15|0.1.0 12-13|0 9-10|0.0 6-7|0.0.0 4-5|0.0.0.0 2-3|0.0.0.1 0-1|0.2.1 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:29.753
# ::node	0	and	12-13
# ::node	0.0	exceed-01	9-10
# ::node	0.0.0	return-01	6-7
# ::node	0.0.0.0	paper	4-5
# ::node	0.0.0.1	discuss-01	2-3
# ::node	0.1	convoy	15-16
# ::node	0.1.0	augment-01	14-15
# ::node	0.2	wave-01	17-18
# ::node	0.2.0	way	20-21
# ::node	0.2.1	after	0-1
# ::root	0	and
# ::edge	after	op1	wave-01	0.2.1	0.2	
# ::edge	and	op1	convoy	0	0.1	
# ::edge	and	op2	wave-01	0	0.2	
# ::edge	augment-01	ARG1	convoy	0.1.0	0.1	
# ::edge	discuss-01	ARG1	return-01	0.0.0.1	0.0.0	
# ::edge	exceed-01	ARG1	and	0.0	0	
# ::edge	return-01	ARG1	paper	0.0.0	0.0.0.0	
# ::edge	return-01	ARG3	exceed-01	0.0.0	0.0	
# ::edge	wave-01	ARG1	way	0.2	0.2.0	
(a2 / and 
      :ARG1-of (e / exceed-01 
            :ARG3-of (r / return-01 
                  :ARG1 (p / paper) 
                  :ARG1-of (d / discuss-01))) 
      :op1 (c / convoy 
            :ARG1-of (a / augment-01)) 
      :op2 (w2 / wave-01 
            :ARG1 (w / way) 
            :op-of (a3 / after)))

# ::snt it might avoid the worst excesses but is no more likely than the present system to lead to justice in the particular case
# ::tok it might avoid the worst excesses but is no more likely than the present system to lead to justice in the particular case
# ::alignments 22-23|0.0 21-22|0.0.0 18-19|0.0.1 14-15|0.2.0 13-14|0.2.0.0 10-11|0.2 8-9|0.1.1 6-7|0 4-5|0.1.2 2-3|0.1 0-1|0.1.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:29.859
# ::node	0	contrast-01	6-7
# ::node	0.0	case	22-23
# ::node	0.0.0	particular	21-22
# ::node	0.0.1	justice	18-19
# ::node	0.1	avoid-01	2-3
# ::node	0.1.0	it	0-1
# ::node	0.1.1	-	8-9
# ::node	0.1.2	bad	4-5
# ::node	0.2	likely	10-11
# ::node	0.2.0	system	14-15
# ::node	0.2.0.0	present	13-14
# ::root	0	contrast-01
# ::edge	avoid-01	ARG0	it	0.1	0.1.0	
# ::edge	avoid-01	ARG1	-	0.1	0.1.1	
# ::edge	bad	op1	avoid-01	0.1.2	0.1	
# ::edge	case	mod	particular	0.0	0.0.0	
# ::edge	case	quant	justice	0.0	0.0.1	
# ::edge	contrast-01	ARG0	case	0	0.0	
# ::edge	contrast-01	ARG1	avoid-01	0	0.1	
# ::edge	contrast-01	ARG2	likely	0	0.2	
# ::edge	likely	topic	system	0.2	0.2.0	
# ::edge	system	time	present	0.2.0	0.2.0.0	
(c2 / contrast-01 
      :ARG0 (c / case 
            :mod (p / particular) 
            :quant (j / justice)) 
      :ARG1 (a / avoid-01 
            :ARG0 (i / it) 
            :ARG1 (- / -) 
            :op-of (b / bad)) 
      :ARG2 (l / likely 
            :topic (s / system 
                  :time (p2 / present))))

# ::snt   although kings made sporadic efforts to reform to purge and reorganize again ultimately only the nineteenth century brought the abundance which permitted a system to organize the state and curb some of the worst excesses
# ::tok although kings made sporadic efforts to reform to purge and reorganize again ultimately only the nineteenth century brought the abundance which permitted a system to organize the state and curb some of the worst excesses
# ::alignments 0-1|0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:29.860
# THERE WAS AN EXCEPTION IN THE PARSER.  Returning an empty graph.
# java.lang.AssertionError: assertion failed
# 	at scala.Predef$.assert(Predef.scala:165)
# 	at edu.cmu.lti.nlp.amr.Annotation$$anonfun$makeLeftRight$1.apply$mcVI$sp(Annotation.scala:70)
# 	at scala.collection.immutable.Range.foreach$mVc$sp(Range.scala:141)
# 	at edu.cmu.lti.nlp.amr.Annotation.makeLeftRight(Annotation.scala:51)
# 	at edu.cmu.lti.nlp.amr.Annotation.<init>(Annotation.scala:89)
# 	at edu.cmu.lti.nlp.amr.Input.<init>(Input.scala:19)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply$mcV$sp(AMRParser.scala:200)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$.time(AMRParser.scala:78)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3.apply(AMRParser.scala:192)
# 	at scala.collection.TraversableLike$WithFilter$$anonfun$foreach$1.apply(TraversableLike.scala:772)
# 	at scala.collection.IndexedSeqOptimized$class.foreach(IndexedSeqOptimized.scala:33)
# 	at scala.collection.mutable.ArrayOps$ofRef.foreach(ArrayOps.scala:108)
# 	at scala.collection.TraversableLike$WithFilter.foreach(TraversableLike.scala:771)
# 	at edu.cmu.lti.nlp.amr.AMRParser$.main(AMRParser.scala:192)
# 	at edu.cmu.lti.nlp.amr.AMRParser.main(AMRParser.scala)
(a / amr-empty)

# ::snt all bills will then be dealt with direct by the insurers and you just have to pay the excess
# ::tok all bills will then be dealt with direct by the insurers and you just have to pay the excess
# ::alignments 18-19|0.0.0.0 16-17|0.0.0.1 13-14|0.0.0.1.0 12-13|0.0.0 11-12|0 7-8|0.0.2 5-6|0.0 3-4|0.0.3 1-2|0.0.1 0-1|0.0.1.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:29.968
# ::node	0	and	11-12
# ::node	0.0	deal-01	5-6
# ::node	0.0.0	you	12-13
# ::node	0.0.0.0	exceed-01	18-19
# ::node	0.0.0.1	pay-01	16-17
# ::node	0.0.0.1.0	just	13-14
# ::node	0.0.1	bill-01	1-2
# ::node	0.0.1.0	all	0-1
# ::node	0.0.2	direct	7-8
# ::node	0.0.3	then	3-4
# ::root	0	and
# ::edge	and	op1	deal-01	0	0.0	
# ::edge	bill-01	quant	all	0.0.1	0.0.1.0	
# ::edge	deal-01	ARG0	you	0.0	0.0.0	
# ::edge	deal-01	ARG1	bill-01	0.0	0.0.1	
# ::edge	deal-01	manner	direct	0.0	0.0.2	
# ::edge	deal-01	time	then	0.0	0.0.3	
# ::edge	exceed-01	ARG0	you	0.0.0.0	0.0.0	
# ::edge	pay-01	ARG0	you	0.0.0.1	0.0.0	
# ::edge	pay-01	mod	just	0.0.0.1	0.0.0.1.0	
(a / and 
      :op1 (d2 / deal-01 
            :ARG0 (y / you 
                  :ARG0-of (e / exceed-01) 
                  :ARG0-of (p / pay-01 
                        :mod (j / just))) 
            :ARG1 (b / bill-01 
                  :quant (a2 / all)) 
            :manner (d / direct) 
            :time (t / then)))

# ::snt tyson is so completely the world heavyweight champion so convincingly one of the most dramatic figures ever to inhabit professional boxing that his excesses are bound to be regarded as conclusive proof of something more potentially terminal than any hazards he is likely to encounter in the ring
# ::tok tyson is so completely the world heavyweight champion so convincingly one of the most dramatic figures ever to inhabit professional boxing that his excesses are bound to be regarded as conclusive proof of something more potentially terminal than any hazards he is likely to encounter in the ring
# ::alignments 47-48|0.0.2.1 44-45|0.0.2 42-43|0.0.2.2 40-41|0.0.2.0 38-39|0.0.3 36-37|0.2.0 35-36|0.2.0.0 33-34|0.2 31-32|0 30-31|0.1 28-29|0.0 20-21|0.0.1 19-20|0.0.1.0 16-17|0.0.0.3 15-16|0.1.0.0 14-15|0.1.0.0.0 13-14|0.1.0.0.0.0 9-10|0.1.0 8-9|0.1.0.1 7-8|0.0.0 6-7|0.0.0.0 5-6|0.0.0.1 3-4|0.0.0.2 2-3|0.0.0.2.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:30.798
# ::node	0	proof	31-32
# ::node	0.0	regard-01	28-29
# ::node	0.0.0	champion	7-8
# ::node	0.0.0.0	heavyweight	6-7
# ::node	0.0.0.1	world	5-6
# ::node	0.0.0.2	complete	3-4
# ::node	0.0.0.2.0	so	2-3
# ::node	0.0.0.3	ever	16-17
# ::node	0.0.1	boxing	20-21
# ::node	0.0.1.0	professional	19-20
# ::node	0.0.2	encounter-01	44-45
# ::node	0.0.2.0	he	40-41
# ::node	0.0.2.1	ring	47-48
# ::node	0.0.2.2	likely	42-43
# ::node	0.0.3	any	38-39
# ::node	0.1	conclusive	30-31
# ::node	0.1.0	convince-01	9-10
# ::node	0.1.0.0	figure	15-16
# ::node	0.1.0.0.0	dramatic	14-15
# ::node	0.1.0.0.0.0	most	13-14
# ::node	0.1.0.1	so	8-9
# ::node	0.2	something	33-34
# ::node	0.2.0	terminal	36-37
# ::node	0.2.0.0	potential	35-36
# ::root	0	proof
# ::edge	any	op1	regard-01	0.0.3	0.0	
# ::edge	boxing	mod	professional	0.0.1	0.0.1.0	
# ::edge	champion	mod	heavyweight	0.0.0	0.0.0.0	
# ::edge	champion	mod	world	0.0.0	0.0.0.1	
# ::edge	champion	quant	complete	0.0.0	0.0.0.2	
# ::edge	champion	time	ever	0.0.0	0.0.0.3	
# ::edge	complete	degree	so	0.0.0.2	0.0.0.2.0	
# ::edge	convince-01	ARG0	conclusive	0.1.0	0.1	
# ::edge	convince-01	ARG1	figure	0.1.0	0.1.0.0	
# ::edge	convince-01	manner	so	0.1.0	0.1.0.1	
# ::edge	dramatic	degree	most	0.1.0.0.0	0.1.0.0.0.0	
# ::edge	encounter-01	ARG0	he	0.0.2	0.0.2.0	
# ::edge	encounter-01	ARG1	ring	0.0.2	0.0.2.1	
# ::edge	encounter-01	ARG2	regard-01	0.0.2	0.0	
# ::edge	figure	quant	dramatic	0.1.0.0	0.1.0.0.0	
# ::edge	likely	domain	encounter-01	0.0.2.2	0.0.2	
# ::edge	proof	mod	conclusive	0	0.1	
# ::edge	proof	mod	something	0	0.2	
# ::edge	regard-01	ARG0	champion	0.0	0.0.0	
# ::edge	regard-01	ARG1	boxing	0.0	0.0.1	
# ::edge	regard-01	ARG2	proof	0.0	0	
# ::edge	something	mod	terminal	0.2	0.2.0	
# ::edge	terminal	mod	potential	0.2.0	0.2.0.0	
(p2 / proof 
      :ARG2-of (r2 / regard-01 
            :ARG0 (c3 / champion 
                  :mod (h2 / heavyweight) 
                  :mod (w / world) 
                  :quant (c4 / complete 
                        :degree (s3 / so)) 
                  :time (e2 / ever)) 
            :ARG1 (b / boxing 
                  :mod (p3 / professional)) 
            :ARG2-of (e / encounter-01 
                  :ARG0 (h / he) 
                  :ARG1 (r / ring) 
                  :domain-of (l / likely)) 
            :op-of (a / any)) 
      :mod (c / conclusive 
            :ARG0-of (c2 / convince-01 
                  :ARG1 (f / figure 
                        :quant (d / dramatic 
                              :degree (m / most))) 
                  :manner (s2 / so))) 
      :mod (s / something 
            :mod (t / terminal 
                  :mod (p / potential))))

# ::snt the success rate at this time 1956 in producing prisoners with no subsequent reconvictions from open borstals was still well in excess of 50 per cent
# ::tok the success rate at this time 1956 in producing prisoners with no subsequent reconvictions from open borstals was still well in excess of 50 per cent
# ::alignments 25-26|0.0.3.0.0.0+0.0.3.0.0 23-24|0.0.3.0.2 21-22|0.0.3.0 19-20|0.0.3.0.1 18-19|0.0.3.0.1.0 12-13|0 11-12|0.0.0 8-9|0.0.1 6-7|0.0.1.0.0+0.0.1.0 5-6|0.0.2 4-5|0.0.2.0 2-3|0.0.3 1-2|0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:31.084
# ::node	0	subsequent	12-13
# ::node	0.0	succeed-01	1-2
# ::node	0.0.0	-	11-12
# ::node	0.0.1	produce-01	8-9
# ::node	0.0.1.0	date-entity	6-7
# ::node	0.0.1.0.0	1956	6-7
# ::node	0.0.2	time	5-6
# ::node	0.0.2.0	this	4-5
# ::node	0.0.3	rate	2-3
# ::node	0.0.3.0	exceed-01	21-22
# ::node	0.0.3.0.0	monetary-quantity	25-26
# ::node	0.0.3.0.0.0	cent	25-26
# ::node	0.0.3.0.1	well	19-20
# ::node	0.0.3.0.1.0	still	18-19
# ::node	0.0.3.0.2	50	23-24
# ::root	0	subsequent
# ::edge	date-entity	year	1956	0.0.1.0	0.0.1.0.0	
# ::edge	exceed-01	ARG0	rate	0.0.3.0	0.0.3	
# ::edge	exceed-01	ARG1	monetary-quantity	0.0.3.0	0.0.3.0.0	
# ::edge	exceed-01	time	50	0.0.3.0	0.0.3.0.2	
# ::edge	exceed-01	time	well	0.0.3.0	0.0.3.0.1	
# ::edge	monetary-quantity	unit	cent	0.0.3.0.0	0.0.3.0.0.0	
# ::edge	produce-01	ARG0	succeed-01	0.0.1	0.0	
# ::edge	produce-01	ARG1	date-entity	0.0.1	0.0.1.0	
# ::edge	rate	mod	succeed-01	0.0.3	0.0	
# ::edge	subsequent	op1	succeed-01	0	0.0	
# ::edge	succeed-01	ARG0	-	0.0	0.0.0	
# ::edge	succeed-01	ARG1	time	0.0	0.0.2	
# ::edge	time	mod	this	0.0.2	0.0.2.0	
# ::edge	well	mod	still	0.0.3.0.1	0.0.3.0.1.0	
(s2 / subsequent 
      :op1 (s3 / succeed-01 
            :ARG0 (- / -) 
            :ARG0-of (p / produce-01 
                  :ARG1 (d / date-entity 
                        :year 1956)) 
            :ARG1 (t / time 
                  :mod (t2 / this)) 
            :mod-of (r / rate 
                  :ARG0-of (e / exceed-01 
                        :ARG1 (m / monetary-quantity 
                              :unit (c / cent)) 
                        :time (w / well 
                              :mod (s / still)) 
                        :time 50))))

# ::snt ballycastle is one of the more attractive seaside towns managing to avoid the excesses of other resorts and there are no end of guesthouses if you want to break your walk or use the town as a base
# ::tok ballycastle is one of the more attractive seaside towns managing to avoid the excesses of other resorts and there are no end of guesthouses if you want to break your walk or use the town as a base
# ::alignments 37-38|0.0.0.1.2 34-35|0.0.0.1.1 32-33|0.0.0.1 31-32|0.0.0.1.3 30-31|0.0.0.1.3.0.0.0 26-27|0.0.0.1.3.0 25-26|0.0.0.1.3.0.0 20-21|0.0.0.1.3.0.0.0.0 17-18|0 15-16|0.0.0.1.0 11-12|0.0.0 9-10|0.0 8-9|0.0.0.0 7-8|0.0.0.0.1 6-7|0.0.0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:31.435
# ::node	0	and	17-18
# ::node	0.0	manage-01	9-10
# ::node	0.0.0	avoid-01	11-12
# ::node	0.0.0.0	town	8-9
# ::node	0.0.0.0.0	attract-01	6-7
# ::node	0.0.0.0.1	seaside	7-8
# ::node	0.0.0.1	use-01	32-33
# ::node	0.0.0.1.0	other	15-16
# ::node	0.0.0.1.1	town	34-35
# ::node	0.0.0.1.2	base	37-38
# ::node	0.0.0.1.3	or	31-32
# ::node	0.0.0.1.3.0	want-01	26-27
# ::node	0.0.0.1.3.0.0	you	25-26
# ::node	0.0.0.1.3.0.0.0	walk-01	30-31
# ::node	0.0.0.1.3.0.0.0.0	-	20-21
# ::root	0	and
(a / and 
      :ARG0-of (m / manage-01 
            :ARG1 (a2 / avoid-01 
                  :ARG0 (t2 / town 
                        :ARG0-of (a3 / attract-01) 
                        :mod (s / seaside)) 
                  :ARG1 (u / use-01 
                        :ARG0 (o2 / other) 
                        :ARG1 (t / town) 
                        :ARG2 (b / base) 
                        :op-of (o / or 
                              :ARG1-of (w2 / want-01 
                                    :ARG0 (y / you 
                                          :ARG1-of (w / walk-01 
                                                :ARG0 (- / -)))))))))

# ::snt in taxi driver all the trouble comes from the final release of bottledup sexual energy in american gigolo from an excess of sexual expertise where the orgasm dash
# ::tok in taxi driver all the trouble comes from the final release of bottledup sexual energy in american gigolo from an excess of sexual expertise where the orgasm dash
# ::alignments 26-27|0.0.0.0.2 23-24|0.0 22-23|0 20-21|0.0.0 16-17|0.0.0.0.0.0.0+0.0.0.0.0.0+0.0.0.0.0 14-15|0.0.0.0.1.0 13-14|0.0.0.0.1.0.0 10-11|0.0.0.0.1 9-10|0.0.0.0.1.1 5-6|0.0.0.0 3-4|0.0.0.0.4 2-3|0.0.0.0.3+0.0.0.0.3.0 1-2|0.0.0.0.3.1 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:31.800
# ::node	0	sexual	22-23
# ::node	0.0	expertise	23-24
# ::node	0.0.0	exceed-01	20-21
# ::node	0.0.0.0	trouble-01	5-6
# ::node	0.0.0.0.0	country	16-17
# ::node	0.0.0.0.0.0	name	16-17
# ::node	0.0.0.0.0.0.0	"America"	16-17
# ::node	0.0.0.0.1	release-01	10-11
# ::node	0.0.0.0.1.0	energy	14-15
# ::node	0.0.0.0.1.0.0	sexual	13-14
# ::node	0.0.0.0.1.1	final	9-10
# ::node	0.0.0.0.2	orgasm-00	26-27
# ::node	0.0.0.0.3	drive-01	2-3
# ::node	0.0.0.0.3.0	person	2-3
# ::node	0.0.0.0.3.1	taxi	1-2
# ::node	0.0.0.0.4	all	3-4
# ::root	0	sexual
(s / sexual 
      :mod-of (e / expertise 
            :ARG1-of (e2 / exceed-01 
                  :ARG2 (t / trouble-01 
                        :ARG1 (c / country 
                              :name (n / name 
                                    :op1 "America")) 
                        :ARG1-of (r / release-01 
                              :ARG2 (e3 / energy 
                                    :mod (s2 / sexual)) 
                              :mod (f / final)) 
                        :ARG1-of (o / orgasm-00) 
                        :frequency-of (d / drive-01 
                              :ARG0 (p / person) 
                              :ARG1 (t2 / taxi)) 
                        :quant (a / all)))))

# ::snt all those participating in the debate admit that both systems have in the past led to excesses
# ::tok all those participating in the debate admit that both systems have in the past led to excesses
# ::alignments 14-15|0.0.0.0 13-14|0.0.0.0.1 9-10|0.0.0.0.0 8-9|0.0.0.0.0.0 6-7|0.0.0 5-6|0.1 2-3|0 0-1|0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:31.947
# ::node	0	participate-01	2-3
# ::node	0.0	all	0-1
# ::node	0.0.0	admit-01	6-7
# ::node	0.0.0.0	lead-02	14-15
# ::node	0.0.0.0.0	system	9-10
# ::node	0.0.0.0.0.0	both	8-9
# ::node	0.0.0.0.1	past	13-14
# ::node	0.1	debate-01	5-6
# ::root	0	participate-01
# ::edge	admit-01	ARG0	all	0.0.0	0.0	
# ::edge	admit-01	ARG1	lead-02	0.0.0	0.0.0.0	
# ::edge	lead-02	ARG0	system	0.0.0.0	0.0.0.0.0	
# ::edge	lead-02	time	past	0.0.0.0	0.0.0.0.1	
# ::edge	participate-01	ARG0	all	0	0.0	
# ::edge	participate-01	ARG1	debate-01	0	0.1	
# ::edge	system	mod	both	0.0.0.0.0	0.0.0.0.0.0	
(p2 / participate-01 
      :ARG0 (a2 / all 
            :ARG0-of (a / admit-01 
                  :ARG1 (l / lead-02 
                        :ARG0 (s / system 
                              :mod (b / both)) 
                        :time (p / past)))) 
      :ARG1 (d / debate-01))

# ::snt indeed a number of my acquaintances in universities have already been offered employment deals well in excess of their current salary
# ::tok indeed a number of my acquaintances in universities have already been offered employment deals well in excess of their current salary
# ::alignments 20-21|0.0.2.0 19-20|0.0.0.0 16-17|0.0.2 14-15|0.1 13-14|0.0 12-13|0.0.1 11-12|0 9-10|0.2 7-8|0.0.3 2-3|0.0.0 0-1|0.0.0.1 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:32.167
# ::node	0	offer-01	11-12
# ::node	0.0	deal-01	13-14
# ::node	0.0.0	number	2-3
# ::node	0.0.0.0	current	19-20
# ::node	0.0.0.1	indeed	0-1
# ::node	0.0.1	employment	12-13
# ::node	0.0.2	exceed-01	16-17
# ::node	0.0.2.0	salary	20-21
# ::node	0.0.3	university	7-8
# ::node	0.1	well	14-15
# ::node	0.2	already	9-10
# ::root	0	offer-01
# ::edge	current	domain	number	0.0.0.0	0.0.0	
# ::edge	deal-01	ARG0	number	0.0	0.0.0	
# ::edge	deal-01	ARG1	employment	0.0	0.0.1	
# ::edge	deal-01	ARG3	exceed-01	0.0	0.0.2	
# ::edge	deal-01	mod	university	0.0	0.0.3	
# ::edge	exceed-01	ARG1	salary	0.0.2	0.0.2.0	
# ::edge	number	mod	indeed	0.0.0	0.0.0.1	
# ::edge	offer-01	ARG1	deal-01	0	0.0	
# ::edge	offer-01	ARG2	well	0	0.1	
# ::edge	offer-01	mod	already	0	0.2	
(o / offer-01 
      :ARG1 (d / deal-01 
            :ARG0 (n / number 
                  :domain-of (c / current) 
                  :mod (i / indeed)) 
            :ARG1 (e2 / employment) 
            :ARG3 (e / exceed-01 
                  :ARG1 (s / salary)) 
            :mod (u / university)) 
      :ARG2 (w / well) 
      :mod (a / already))

# ::snt   compared to the excesses for which fleet street journos are traditionally noted chocolate addiction seems positively virtuous
# ::tok compared to the excesses for which fleet street journos are traditionally noted chocolate addiction seems positively virtuous
# ::alignments 0-1|0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:32.168
# THERE WAS AN EXCEPTION IN THE PARSER.  Returning an empty graph.
# java.lang.AssertionError: assertion failed
# 	at scala.Predef$.assert(Predef.scala:165)
# 	at edu.cmu.lti.nlp.amr.Annotation$$anonfun$makeLeftRight$1.apply$mcVI$sp(Annotation.scala:70)
# 	at scala.collection.immutable.Range.foreach$mVc$sp(Range.scala:141)
# 	at edu.cmu.lti.nlp.amr.Annotation.makeLeftRight(Annotation.scala:51)
# 	at edu.cmu.lti.nlp.amr.Annotation.<init>(Annotation.scala:89)
# 	at edu.cmu.lti.nlp.amr.Input.<init>(Input.scala:19)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply$mcV$sp(AMRParser.scala:200)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$.time(AMRParser.scala:78)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3.apply(AMRParser.scala:192)
# 	at scala.collection.TraversableLike$WithFilter$$anonfun$foreach$1.apply(TraversableLike.scala:772)
# 	at scala.collection.IndexedSeqOptimized$class.foreach(IndexedSeqOptimized.scala:33)
# 	at scala.collection.mutable.ArrayOps$ofRef.foreach(ArrayOps.scala:108)
# 	at scala.collection.TraversableLike$WithFilter.foreach(TraversableLike.scala:771)
# 	at edu.cmu.lti.nlp.amr.AMRParser$.main(AMRParser.scala:192)
# 	at edu.cmu.lti.nlp.amr.AMRParser.main(AMRParser.scala)
(a / amr-empty)

# ::snt there was nothing of the picturesque or civic excess in these stations
# ::tok there was nothing of the picturesque or civic excess in these stations
# ::alignments 11-12|0.0.0 8-9|0.0 6-7|0 2-3|0.0.1 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:32.181
# ::node	0	or	6-7
# ::node	0.0	exceed-01	8-9
# ::node	0.0.0	station	11-12
# ::node	0.0.1	nothing	2-3
# ::root	0	or
# ::edge	exceed-01	ARG1	station	0.0	0.0.0	
# ::edge	nothing	accompanier	exceed-01	0.0.1	0.0	
# ::edge	or	op1	exceed-01	0	0.0	
(o / or 
      :op1 (e / exceed-01 
            :ARG1 (s / station) 
            :accompanier-of (n / nothing)))

# ::snt in that case it splits the excess equally with the investor
# ::tok in that case it splits the excess equally with the investor
# ::alignments 10-11|0+0.0 7-8|0.0.1 6-7|0.0.1.0 3-4|0.0.1.0.0 2-3|0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:32.203
# ::node	0	invest-01	10-11
# ::node	0.0	person	10-11
# ::node	0.0.0	case	2-3
# ::node	0.0.1	equal	7-8
# ::node	0.0.1.0	exceed-01	6-7
# ::node	0.0.1.0.0	it	3-4
# ::root	0	invest-01
# ::edge	case	poss	person	0.0.0	0.0	
# ::edge	exceed-01	ARG0	it	0.0.1.0	0.0.1.0.0	
# ::edge	exceed-01	ARG1	equal	0.0.1.0	0.0.1	
# ::edge	invest-01	ARG0	person	0	0.0	
# ::edge	person	quant	equal	0.0	0.0.1	
(i / invest-01 
      :ARG0 (p / person 
            :poss-of (c / case) 
            :quant (e / equal 
                  :ARG1-of (e2 / exceed-01 
                        :ARG0 (i2 / it)))))

# ::snt will the misogynist and queerbashing excesses of the british press remain fair comment
# ::tok will the misogynist and queerbashing excesses of the british press remain fair comment
# ::alignments 12-13|0 11-12|0.0.0.1 10-11|0.0.0 9-10|0.0.0.0 3-4|0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:32.242
# ::node	0	comment-01	12-13
# ::node	0.0	and	3-4
# ::node	0.0.0	remain-01	10-11
# ::node	0.0.0.0	press	9-10
# ::node	0.0.0.1	fair	11-12
# ::root	0	comment-01
# ::edge	comment-01	ARG0	and	0	0.0	
# ::edge	remain-01	ARG0	press	0.0.0	0.0.0.0	
# ::edge	remain-01	ARG1	and	0.0.0	0.0	
# ::edge	remain-01	ARG2	fair	0.0.0	0.0.0.1	
(c / comment-01 
      :ARG0 (a / and 
            :ARG1-of (r / remain-01 
                  :ARG0 (p / press) 
                  :ARG2 (f / fair))))

# ::snt the dazzle of numbers in excess of seven can be mitigated by grouping procedures
# ::tok the dazzle of numbers in excess of seven can be mitigated by grouping procedures
# ::alignments 13-14|0.0.0 12-13|0.0 8-9|0 7-8|0.0.1.0.0 5-6|0.0.1 3-4|0.0.1.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:32.278
# ::node	0	possible	8-9
# ::node	0.0	group-01	12-13
# ::node	0.0.0	procedure	13-14
# ::node	0.0.1	exceed-01	5-6
# ::node	0.0.1.0	number	3-4
# ::node	0.0.1.0.0	7	7-8
